Watershed Name,Scale Gage,Scale Factor
Puyallup R,Puyallup (12101500),1.0444
Hylebos Cr,Chambers (12091500),0.327
Federal Way,Chambers (12091500),0.0555
Buenna,Chambers (12091500),0.0405
Saltwater St Pk,Chambers (12091500),0.032
Des Moines Cr,Chambers (12091500),0.0764
Miller Cr,Chambers (12091500),0.2015
Curley Cr,Huge (12073500),3.3897
Olalla Cr,Huge (12073500),2.612
Tahlequah,Huge (12073500),0.6812
Magnolia Bch,Huge (12073500),0.9624
Judd Cr,Huge (12073500),1.0643
Ellisport,Huge (12073500),0.603
Shingle Mill Cr,Huge (12073500),0.9283
Chambers Cr,Chambers (12091500),0.9782
Sequalitchew Cr,Chambers (12091500),0.5279
Ketron,Chambers (12091500),0.0214
University Place,Chambers (12091500),0.0653
Nisqually R,Nisqually (12089500),1.223
McAllister Cr,Nisqually (12089500),0.046
Deschutes R,Deschutes (12080010),1.0384
Capitol Lake,Deschutes (12080010),1.0384
Butler Cr,Deschutes (12080010),0.0139
Schneider Cr,Deschutes (12080010),0.0041
Ellis_Mission Cr,Deschutes (12080010),0.0153
Gull Harbor,Deschutes (12080010),0.0215
Moxlie Cr,Deschutes (12080010),0.034
Woodard Cr,Deschutes (12080010),0.0592
Woodland Cr,Deschutes (12080010),0.1491
Green Cove,Goldsborough (12076800),0.1043
Henderson Inlet,Deschutes (12080010),0.0109
Gallagher Cove,Goldsborough (12076800),0.0638
Frye Cove,Goldsborough (12076800),0.0376
McLane Cr,Goldsborough (12076800),0.1985
Perry Cr,Goldsborough (12076800),0.1089
Kennedy_Schneider,Goldsborough (12076800),0.4019
Skookum Cr,Goldsborough (12076800),0.3419
Mill Cr,Goldsborough (12076800),0.4971
Goldsborough Cr,Goldsborough (12076800),1.1658
Johns Cr,Goldsborough (12076800),0.1824
Cranberry Cr,Goldsborough (12076800),0.4601
Sherwood Cr,Goldsborough (12076800),0.4875
Campbell Cr,Goldsborough (12076800),0.0832
Grant,Goldsborough (12076800),0.0545
Sun Pt,Goldsborough (12076800),0.0377
Jarrel Cove,Goldsborough (12076800),0.1137
Peale Passage,Goldsborough (12076800),0.0735
Wilson Pt,Goldsborough (12076800),0.0594
Snodgrass Cr,Goldsborough (12076800),0.0233
Deer Cr,Goldsborough (12076800),0.0629
Coulter Cr,Huge (12073500),2.7895
Rocky Cr,Huge (12073500),3.2668
Vaughn,Huge (12073500),0.7652
Dutcher Cove,Huge (12073500),0.6143
Herron,Huge (12073500),0.4844
Whitman Cove,Huge (12073500),0.9227
Filucy Bay,Huge (12073500),0.8564
Mayo Cove,Huge (12073500),0.4372
Van Gelden,Huge (12073500),1.1203
Glen Cove,Huge (12073500),0.8554
Minter Cr,Huge (12073500),2.7809
Burley Cr,Huge (12073500),1.7944
Purdy Cr,Huge (12073500),0.6671
Goodnough Cr,Huge (12073500),0.7173
Rosedale,Huge (12073500),1.1232
Artondale,Huge (12073500),1.7095
Gig Harbor,Huge (12073500),2.1629
Hale Passage,Huge (12073500),0.9992
McNeil Isl,Huge (12073500),0.8817
Anderson east,Huge (12073500),0.2541
Anderson west,Huge (12073500),0.7571
Tolmie,Deschutes (12080010),0.0307
Dana Passage,Deschutes (12080010),0.0279
Green R,Green River (Hybrid),1
Lake Washington,Lake Washington (Hybrid),1
Sinclair Dyes,Huge (12073500),26.9792
Birch Bay,Nooksack (12213100),0.0453
Clallam Bay,Hoko (12043300),2.7032
Dabob Bay,Big Quilcene (12052210),0.6446
Discovery Bay,Dungeness (12048000),0.2983
Dosewallips,Duckabush (12054000),1.4294
Duckabush,Duckabush (12054000),1.1404
Dungeness,Dungeness (12048000),1.1686
Elwha,Elwha (12045500),1.09
Hamma Hamma,Skokomish (12061500),0.4459
Kitsap NE,Big Beef (12069550),0.3628
Kitsap_Hood,Big Beef (12069550),3.5312
Lopez Island,Samish (12201500),0.1949
Lynch Cove,Big Beef (12069550),5.8742
Nooksack,Nooksack (12213100),0.954
North Olympic,Hoko (12043300),2.5435
NW Hood,Big Beef (12069550),2.692
Orcas Island,Samish (12201500),0.4348
Port Angeles,Dungeness (12048000),0.592
Port Gamble,Big Beef (12069550),2.0815
Port Townsend,Dungeness (12048000),0.1695
Quilcene,Big Quilcene (12052210),1.9105
Samish_Bell south,Samish (12201500),1.8864
San Juan Island,Samish (12201500),0.3722
Sequim Bay,Dungeness (12048000),0.0741
Skagit,Skagit (12200500),1.0096
Skokomish,Skokomish (12061500),1.081
Snohomish,Snohomish (12150800),1.0894
South Snohomish,Snohomish (12150800),0.0045
Stillaguamish,Stillaguamish (12167000),2.4598
Tahuya,Big Beef (12069550),7.2216
Whatcom_Bell north,Samish (12201500),1.4326
Whidbey east,Samish (12201500),0.3837
Whidbey west,Samish (12201500),0.3271
Fraser,Fraser (08MF005),1.0848
Howe Sound,Squamish (08GA022),2.3449
Sunshine Coast,Clowhom (08GB013),32.3873
Vancouver Isl C,Englishman (08HB002),4.93
Vancouver Isl N,Vancouver Isl N (Hybrid),1
Vancouver Isl S,Vancouver Isl S (Hybrid),1
Victoria_SJdF,Harris (08HA070),136.0281
