Group,Station Number,Name,Station Name,Long-term median flow ft3/s 12/27,27-Dec Discharge ft3/s,Date/Time
 Group Cedar River Basin,12119000,cedar," CEDAR RIVER AT RENTON, WA ",896,990, 12/27 06:15 PST 
 Group Chehalis River Basin,12031000,chehalis," CHEHALIS RIVER AT PORTER, WA ",5520,3630, 12/27 06:45 PST 
 Group Deschutes River Basin,12080010,deschutes," DESCHUTES RIVER AT E ST BRIDGE AT TUMWATER, WA ",435,260, 12/27 06:45 PST 
 Group Lower Snake River Basin,14246900,columbia," COLUMBIA RIVER @ BEAVER ARMY TERMINAL NR QUINCY,OR ",195000,76700, 12/27 06:50 PST 
 Group Nooksack River Basin,12213100,nooksack," NOOKSACK RIVER AT FERNDALE, WA ",3130,2820, 12/27 06:30 PST 
 Group Puyallup River Basin,12101500,puyallup," PUYALLUP RIVER AT PUYALLUP, WA ",3180,3210, 12/27 06:45 PST 
 Group Skagit River Basin,12200500,skagit," SKAGIT RIVER NEAR MOUNT VERNON, WA ",13000,11600, 12/27 06:15 PST 
 Group Skagit River Basin,12201500,samish," SAMISH RIVER NEAR BURLINGTON, WA ",345,265, 12/27 06:00 PST 
 Group Stillaguamish River Basin,12167000,stillaguamish," NF STILLAGUAMISH RIVER NEAR ARLINGTON, WA ",1810,1230, 12/27 06:15 PST 
 Group Willapa Bay River Basins,12013500,willapa," WILLAPA RIVER NEAR WILLAPA, WA ",794,354, 12/27 06:45 PST 
 Group Willapa Bay River Basins,12010000,naselle," NASELLE RIVER NEAR NASELLE, WA ",600,377, 12/27 06:30 PST 
Group Cowlitz River Basin,14243000,cowlitz," COWLITZ RIVER AT CASTLE ROCK, WA ",11400,11000, 12/27 06:30 PST
Group Green/Duwamish River Basin,12113000,green," GREEN RIVER NEAR AUBURN, WA ",1350,2030, 12/27 06:45 PST 
Group Nisqually River Basin,12086500,nisqually," NISQUALLY RIVER AT LA GRANDE, WA ",1910,1550, 12/27 07:00 PST 
Group Olympic Peninsula River Basins,12040500,queets," QUEETS RIVER NEAR CLEARWATER, WA ",4870,2690, 12/27 06:30 PST 
Group Olympic Peninsula River Basins,12039500,quinault," QUINAULT RIVER AT QUINAULT LAKE, WA ",3160,1630, 12/27 06:45 PST 
Group Olympic Peninsula River Basins,12041200,hoh," HOH RIVER AT US HIGHWAY 101 NEAR FORKS, WA ",2350,1430, 12/27 06:15 PST 
Group Olympic Peninsula River Basins,12039005,humptulips," HUMPTULIPS RIVER BELOW HWY 101 NR HUMPTULIPS, WA ",2150,935, 12/27 06:45 PST 
Group Olympic Peninsula River Basins,12045500,elwha," ELWHA RIVER AT MCDONALD BR NEAR PORT ANGELES, WA ",1540,556, 12/27 07:00 PST 
Group Olympic Peninsula River Basins,12043300,hoko," HOKO RIVER NEAR SEKIU, WA ",517,316, 12/27 06:30 PST 
Group Olympic Peninsula River Basins,12048000,dungeness," DUNGENESS RIVER NEAR SEQUIM, WA ",281,138, 12/27 06:15 PST 
Group Olympic Peninsula River Basins,12043163,sooes," SOOES RIVER BLW MILLER CREEK NEAR OZETTE, WA ",198,143, 12/27 06:30 PST 
Group Skokomish River Basin,12061500,skokomish," SKOKOMISH RIVER NEAR POTLATCH, WA ",1230,633, 12/27 06:00 PST 
Group Snoqualmie/Snohomish River Basin,12150800,snohomish," SNOHOMISH RIVER NEAR MONROE, WA ",7890,10300, 12/27 06:00 PST 
Group Wynoochee River Basin,12037400,wynoochee," WYNOOCHEE RIVER ABOVE BLACK CREEK NR MONTESANO, WA ",1620,838, 12/27 06:45 PST 
