Group,Station Number,Name,Station Name,Long-term median flow ft3/s 12/27,NWS Forecast,NWS ID
 Group Cedar River Basin,12119000,cedar," CEDAR RIVER AT RENTON, WA ",896,YES,RNTW1
 Group Chehalis River Basin,12031000,chehalis," CHEHALIS RIVER AT PORTER, WA ",5520,YES,CRPW1
 Group Deschutes River Basin,12080010,deschutes," DESCHUTES RIVER AT E ST BRIDGE AT TUMWATER, WA ",435,NO,DSEW1
 Group Lower Snake River Basin,14246900,columbia," COLUMBIA RIVER @ BEAVER ARMY TERMINAL NR QUINCY,OR ",195000,YES,CBAO3
 Group Nooksack River Basin,12213100,nooksack," NOOKSACK RIVER AT FERNDALE, WA ",3130,YES,NKSW1
 Group Puyallup River Basin,12101500,puyallup," PUYALLUP RIVER AT PUYALLUP, WA ",3180,YES,PUYW1
 Group Skagit River Basin,12200500,skagit," SKAGIT RIVER NEAR MOUNT VERNON, WA ",13000,YES,MVEW1
 Group Skagit River Basin,12201500,samish," SAMISH RIVER NEAR BURLINGTON, WA ",345,YES,SMRW1
 Group Stillaguamish River Basin,12167000,stillaguamish," NF STILLAGUAMISH RIVER NEAR ARLINGTON, WA ",1810,YES,ARGW1
 Group Willapa Bay River Basins,12013500,willapa," WILLAPA RIVER NEAR WILLAPA, WA ",794,YES,WILW1
 Group Willapa Bay River Basins,12010000,naselle," NASELLE RIVER NEAR NASELLE, WA ",600,YES,NASW1
Group Cowlitz River Basin,14243000,cowlitz," COWLITZ RIVER AT CASTLE ROCK, WA ",11400,YES,CASW1
Group Green/Duwamish River Basin,12113000,green," GREEN RIVER NEAR AUBURN, WA ",1350,YES,AUBW1
Group Nisqually River Basin,12089500,nisqually," NISQUALLY RIVER AT MCKENNA, WA ",1739,YES,MKNW1
Group Olympic Peninsula River Basins,12040500,queets," QUEETS RIVER NEAR CLEARWATER, WA ",4870,NO,QUEW1
Group Olympic Peninsula River Basins,12039500,quinault," QUINAULT RIVER AT QUINAULT LAKE, WA ",3160,NO,QLTW1
Group Olympic Peninsula River Basins,12041200,hoh," HOH RIVER AT US HIGHWAY 101 NEAR FORKS, WA ",2350,NO,HORW1
Group Olympic Peninsula River Basins,12039005,humptulips," HUMPTULIPS RIVER BELOW HWY 101 NR HUMPTULIPS, WA ",2150,NO,HMRW1
Group Olympic Peninsula River Basins,12045500,elwha," ELWHA RIVER AT MCDONALD BR NEAR PORT ANGELES, WA ",1540,YES,ELWW1
Group Olympic Peninsula River Basins,12043300,hoko," HOKO RIVER NEAR SEKIU, WA ",517,NO,HOKW1
Group Olympic Peninsula River Basins,12048000,dungeness," DUNGENESS RIVER NEAR SEQUIM, WA ",281,NO,DRSW1
Group Olympic Peninsula River Basins,12043163,sooes," SOOES RIVER BLW MILLER CREEK NEAR OZETTE, WA ",198,NO,
Group Skokomish River Basin,12061500,skokomish," SKOKOMISH RIVER NEAR POTLATCH, WA ",1230,YES,SRPW1
Group Snoqualmie/Snohomish River Basin,12150800,snohomish," SNOHOMISH RIVER NEAR MONROE, WA ",7890,YES,MROW1
Group Wynoochee River Basin,12037400,wynoochee," WYNOOCHEE RIVER ABOVE BLACK CREEK NR MONTESANO, WA ",1620,YES,MNSW1
Quilayute,12043000,calawa,Calawa River near Forks,,NO,CALW1
