yearday,skagit,snohomish,stillaguamish,columbia,puyallup,green,nisqually,deschutes,skagit_south,skokomish,duckabush,fraser,dosewallips,hamma,cedar,nooksack,samish
1,451.61,328.33,91.109,7390.7,120.02,56.553,55.447,13.717,0,99.064,25.74,998.75,25.74,25.74,31.248,139.22,13.745
2,518.15,353.89,76.927,7459.1,129.38,60.784,61.747,15.331,0,89.458,20.634,991.25,20.634,20.634,31.311,151.57,12.988
3,491.34,312.62,73.426,7756.5,119.59,61.466,60.294,13.741,0,76.781,22.474,962.58,22.474,22.474,31.326,127.26,11.721
4,500.59,321.47,90,7695.1,112.42,54.6,59.741,14.109,0,84.354,22.233,955,22.233,22.233,29.133,140.62,12.747
5,519.14,336.1,96.796,7718.7,110.48,56.999,61.492,16.733,0,109.58,25.011,940.58,25.011,25.011,26.925,146.02,16.039
6,622.03,480.16,195.65,8006.6,188.54,71.462,76.337,28.501,0,162.83,36.496,1013.2,36.496,36.496,33.683,197.25,32.763
7,789.1,669.39,196.9,8254.4,226.28,86.163,93.311,32.72,0,144.16,26.802,1048.5,26.802,26.802,45.843,281.04,33.579
8,726.8,577.92,108.22,8223.7,181.06,91.015,76.566,19.657,0,102.35,19.786,977.67,19.786,19.786,43.759,245.55,22.632
9,646.9,479.55,113.36,8171.8,166.36,85.179,79.672,22.012,0,99.012,19.666,952.67,19.666,19.666,40.878,181.77,20.704
10,642.53,447.29,97.929,8197.7,169.97,90.151,91.369,20.572,0,90.833,16.228,938.92,16.228,16.228,43.141,183.19,19.952
11,598.19,386.29,84.266,7636.1,153.29,87.853,86.473,15.119,0,82.725,15.237,922.33,15.237,15.237,42.518,158.1,17.32
12,554.02,364.23,89.361,7640.8,140.97,78.534,80.88,14.463,0,92.636,15.659,911.08,15.659,15.659,42.336,159.05,16.421
13,553.78,359.84,111.57,7867.4,134.84,84.802,75.323,16.988,0,108.68,20.44,915.5,20.44,20.44,43.558,165.49,17.471
14,595.01,404.06,97.924,7924,133.7,87.164,67.894,16.889,0,84.5,17.077,902.75,17.077,17.077,40.576,176.89,16.542
15,543.05,354.55,72.883,7791.9,120.39,75.913,63.182,13.769,0,64.824,13.771,885.33,13.771,13.771,37.567,144.04,14.109
16,539.06,332.02,99.881,7817.8,115.01,68.888,61.004,15.739,0,95.232,20.107,880.08,20.107,20.107,37.107,141.18,14.392
17,593.52,428.95,113.23,7801.3,156.05,76.337,66.679,21.08,0,102.41,22.177,900,22.177,22.177,37.44,173.63,16.544
18,620.4,451.63,90.425,7817.8,130,78.669,69.957,15.874,0,78.742,19.128,958.42,19.128,19.128,34.596,190.93,16.018
19,590.31,396.88,73.836,7560.6,113.24,73.742,66.703,12.922,0,57.821,14.956,982.25,14.956,14.956,32.871,174.6,14.262
20,558.62,344.52,65.766,7555.9,111.8,66.755,67.144,11.829,0,54.666,13.597,945.5,13.597,13.597,33.345,141.21,12.839
21,509.63,313.59,63.784,7563,112.8,60.631,67.278,10.855,0,53.821,15.119,924.58,15.119,15.119,33.614,130.66,12.138
22,533.91,319.34,75.606,7470.9,111.66,54.581,64.923,10.336,0,75.096,20.844,937.75,20.844,20.844,33.109,148.12,12.811
23,536.44,328.29,75.63,7496.9,112.87,52.299,65.006,12.238,0,81.022,18.29,973.92,18.29,18.29,30.759,149.75,12.4
24,519.5,336.12,73.312,7350.6,110.95,57.389,63.328,14.609,0,74.108,15.454,1096.6,15.454,15.454,28.718,137.27,13.561
25,523.08,356.53,91.968,7298.7,112.91,56.929,58.908,12.879,0,78.759,19.543,1087.3,19.543,19.543,28.265,139.67,13.184
26,559.99,339.42,69.346,7492.2,105.76,55.923,55.128,10.749,0,52.969,13.217,1061.7,13.217,13.217,27.847,136.79,12.554
27,502.1,301.29,60.551,7496.9,97.764,57.287,55.095,11.376,0,49.217,11.692,1059.6,11.692,11.692,26.575,116.48,12.002
28,494.36,320.43,69.7,7631.4,108.17,58.182,57.167,13.93,0,73.409,16.438,1048.6,16.438,16.438,26.91,116.34,12.721
29,546.37,395.49,98.564,7655,133.93,66.259,71.748,22.932,0,105.53,18.234,1028,18.234,18.234,28.093,143.05,14.822
