yearday,skagit,snohomish,stillaguamish,columbia,puyallup,green,nisqually,deschutes,skagit_south,skokomish,duckabush,fraser,dosewallips,hamma,cedar,nooksack,samish
1,6.0917,6.0917,6.0917,6.01,6.0917,6.0917,6.0917,6.0917,6.0917,6.0917,6.0917,6.0917,6.0917,6.0917,6.0917,6.0917,6.0917
2,5.8917,5.8917,5.8917,5.9778,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917
3,5.8917,5.8917,5.8917,5.9111,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917
4,5.9083,5.9083,5.9083,5.89,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083
5,5.9667,5.9667,5.9667,5.73,5.9667,5.9667,5.9667,5.9667,5.9667,5.9667,5.9667,5.9667,5.9667,5.9667,5.9667,5.9667,5.9667
6,6.3083,6.3083,6.3083,5.67,6.3083,6.3083,6.3083,6.3083,6.3083,6.3083,6.3083,6.3083,6.3083,6.3083,6.3083,6.3083,6.3083
7,6.2833,6.2833,6.2833,5.73,6.2833,6.2833,6.2833,6.2833,6.2833,6.2833,6.2833,6.2833,6.2833,6.2833,6.2833,6.2833,6.2833
8,6.0333,6.0333,6.0333,5.72,6.0333,6.0333,6.0333,6.0333,6.0333,6.0333,6.0333,6.0333,6.0333,6.0333,6.0333,6.0333,6.0333
9,6.025,6.025,6.025,5.73,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025
10,5.7917,5.7917,5.7917,5.61,5.7917,5.7917,5.7917,5.7917,5.7917,5.7917,5.7917,5.7917,5.7917,5.7917,5.7917,5.7917,5.7917
11,5.8917,5.8917,5.8917,5.47,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917,5.8917
12,5.9083,5.9083,5.9083,5.36,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083,5.9083
13,5.7417,5.7417,5.7417,5.29,5.7417,5.7417,5.7417,5.7417,5.7417,5.7417,5.7417,5.7417,5.7417,5.7417,5.7417,5.7417,5.7417
14,5.4417,5.4417,5.4417,5.29,5.4417,5.4417,5.4417,5.4417,5.4417,5.4417,5.4417,5.4417,5.4417,5.4417,5.4417,5.4417,5.4417
15,5.525,5.525,5.525,5.22,5.525,5.525,5.525,5.525,5.525,5.525,5.525,5.525,5.525,5.525,5.525,5.525,5.525
16,5.7583,5.7583,5.7583,5.18,5.7583,5.7583,5.7583,5.7583,5.7583,5.7583,5.7583,5.7583,5.7583,5.7583,5.7583,5.7583,5.7583
17,5.95,5.95,5.95,5.24,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95
18,6.2667,6.2667,6.2667,5.38,6.2667,6.2667,6.2667,6.2667,6.2667,6.2667,6.2667,6.2667,6.2667,6.2667,6.2667,6.2667,6.2667
19,6.2636,6.2636,6.2636,5.45,6.2636,6.2636,6.2636,6.2636,6.2636,6.2636,6.2636,6.2636,6.2636,6.2636,6.2636,6.2636,6.2636
20,5.9636,5.9636,5.9636,5.43,5.9636,5.9636,5.9636,5.9636,5.9636,5.9636,5.9636,5.9636,5.9636,5.9636,5.9636,5.9636,5.9636
21,5.8364,5.8364,5.8364,5.42,5.8364,5.8364,5.8364,5.8364,5.8364,5.8364,5.8364,5.8364,5.8364,5.8364,5.8364,5.8364,5.8364
22,6.0636,6.0636,6.0636,5.41,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636
23,6.1818,6.1818,6.1818,5.45,6.1818,6.1818,6.1818,6.1818,6.1818,6.1818,6.1818,6.1818,6.1818,6.1818,6.1818,6.1818,6.1818
24,6.1727,6.1727,6.1727,5.41,6.1727,6.1727,6.1727,6.1727,6.1727,6.1727,6.1727,6.1727,6.1727,6.1727,6.1727,6.1727,6.1727
25,6.1455,6.1455,6.1455,5.43,6.1455,6.1455,6.1455,6.1455,6.1455,6.1455,6.1455,6.1455,6.1455,6.1455,6.1455,6.1455,6.1455
26,6.0636,6.0636,6.0636,5.4,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636,6.0636
